* Measurement data measured by REW V5.40 beta 114
* Source: /Users/dms/Documents/FR things/Targets/KEMAR DF (KB50xx)  Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Oct 22, 2024, 11:14:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/dms/Documents/FR things/Targets/KEMAR DF (KB50xx)  Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* Measurement: KEMAR DF (KB50xx)  Target
* Smoothing: Psychoacoustic
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
546.001648, 2.549
549.958191, 2.570
553.943420, 2.590
557.957520, 2.610
562.000671, 2.630
566.073181, 2.650
570.175171, 2.669
574.306885, 2.689
578.468567, 2.707
582.660400, 2.726
586.882568, 2.744
591.135376, 2.762
595.419006, 2.780
599.733643, 2.797
604.079590, 2.814
608.456970, 2.831
612.866089, 2.847
617.307190, 2.863
621.780457, 2.879
626.286133, 2.894
630.824463, 2.909
635.395691, 2.923
640.000000, 2.937
644.637695, 2.951
649.309021, 2.964
654.014160, 2.976
658.753418, 2.989
663.527039, 3.001
668.335205, 3.012
673.178284, 3.023
678.056396, 3.034
682.969849, 3.044
687.918945, 3.053
692.903870, 3.063
697.924927, 3.071
702.982422, 3.079
708.076477, 3.087
713.207520, 3.095
718.375732, 3.101
723.581360, 3.108
728.824707, 3.114
734.106079, 3.119
739.425720, 3.124
744.783936, 3.128
750.180908, 3.132
755.617065, 3.136
761.092529, 3.139
766.607727, 3.142
772.162903, 3.144
777.758301, 3.146
783.394287, 3.147
789.071045, 3.148
794.789001, 3.149
800.548340, 3.149
806.349487, 3.149
812.192627, 3.149
818.078125, 3.149
824.006226, 3.148
829.977295, 3.147
835.991699, 3.146
842.049622, 3.145
848.151428, 3.144
854.297485, 3.143
860.488098, 3.141
866.723572, 3.140
873.004211, 3.139
879.330322, 3.139
885.702332, 3.138
892.120483, 3.138
898.585144, 3.139
905.096680, 3.139
911.655396, 3.141
918.261597, 3.143
924.915710, 3.146
931.618042, 3.149
938.368896, 3.154
945.168762, 3.159
952.017822, 3.166
958.916504, 3.174
965.865234, 3.182
972.864319, 3.193
979.914062, 3.204
987.014954, 3.217
994.167236, 3.232
1001.371399, 3.248
1008.627747, 3.266
1015.936646, 3.286
1023.298584, 3.308
1030.713867, 3.331
1038.182739, 3.357
1045.705933, 3.384
1053.283447, 3.414
1060.916016, 3.446
1068.603882, 3.479
1076.347412, 3.515
1084.147095, 3.553
1092.003296, 3.594
1099.916382, 3.636
1107.886841, 3.681
1115.915039, 3.727
1124.001343, 3.776
1132.146362, 3.827
1140.350342, 3.880
1148.613770, 3.935
1156.937134, 3.992
1165.320801, 4.051
1173.765137, 4.112
1182.270752, 4.174
1190.838013, 4.238
1199.467285, 4.304
1208.159180, 4.372
1216.913940, 4.441
1225.732178, 4.511
1234.614380, 4.582
1243.560913, 4.655
1252.572266, 4.729
1261.648926, 4.803
1270.791382, 4.879
1280.000000, 4.956
1289.275391, 5.033
1298.618042, 5.111
1308.028320, 5.190
1317.506836, 5.269
1327.054077, 5.349
1336.670410, 5.429
1346.356567, 5.510
1356.112793, 5.590
1365.939697, 5.672
1375.837891, 5.753
1385.807739, 5.835
1395.849854, 5.916
1405.964844, 5.998
1416.152954, 6.081
1426.415039, 6.163
1436.751465, 6.245
1447.162720, 6.328
1457.649414, 6.411
1468.212158, 6.494
1478.851440, 6.578
1489.567871, 6.662
1500.361816, 6.746
1511.234131, 6.831
1522.185059, 6.916
1533.215454, 7.001
1544.325806, 7.087
1555.516602, 7.174
1566.788574, 7.262
1578.142090, 7.350
1589.578003, 7.439
1601.096680, 7.529
1612.698975, 7.620
1624.385254, 7.712
1636.156250, 7.805
1648.012451, 7.899
1659.954590, 7.994
1671.983398, 8.090
1684.099243, 8.188
1696.302856, 8.287
1708.594971, 8.387
1720.976196, 8.488
1733.447144, 8.591
1746.008423, 8.695
1758.660645, 8.800
1771.404663, 8.906
1784.240967, 9.014
1797.170288, 9.123
1810.193359, 9.232
1823.310791, 9.343
1836.523193, 9.455
1849.831421, 9.568
1863.236084, 9.682
1876.737793, 9.797
1890.337524, 9.913
1904.035645, 10.029
1917.833008, 10.146
1931.730469, 10.263
1945.728638, 10.381
1959.828125, 10.499
1974.029907, 10.618
1988.334473, 10.737
2002.742798, 10.856
2017.255493, 10.975
2031.873291, 11.095
2046.597168, 11.214
2061.427734, 11.333
2076.365479, 11.452
2091.411865, 11.571
2106.566895, 11.690
2121.832031, 11.809
2137.207764, 11.927
2152.694824, 12.044
2168.294189, 12.162
2184.006592, 12.279
2199.832764, 12.395
2215.773682, 12.511
2231.830078, 12.627
2248.002686, 12.742
2264.292725, 12.856
2280.700684, 12.969
2297.227539, 13.082
2313.874268, 13.194
2330.641602, 13.306
2347.530273, 13.416
2364.541504, 13.526
2381.676025, 13.634
2398.934570, 13.742
2416.318359, 13.848
2433.827881, 13.953
2451.464355, 14.057
2469.228760, 14.160
2487.121826, 14.261
2505.144531, 14.360
2523.297852, 14.458
2541.582764, 14.554
2560.000000, 14.649
2578.550781, 14.741
2597.236084, 14.831
2616.056641, 14.919
2635.013672, 15.005
2654.108154, 15.089
2673.340820, 15.170
2692.713135, 15.248
2712.225586, 15.324
2731.879395, 15.397
2751.675781, 15.467
2771.615479, 15.534
2791.699707, 15.598
2811.929688, 15.658
2832.305908, 15.716
2852.830078, 15.770
2873.502930, 15.821
2894.325439, 15.868
2915.298828, 15.913
2936.424316, 15.953
2957.702881, 15.990
2979.135742, 16.024
3000.723633, 16.054
3022.468262, 16.081
3044.370117, 16.104
3066.430908, 16.124
3088.651611, 16.141
3111.033203, 16.154
3133.577148, 16.164
3156.284180, 16.171
3179.156006, 16.175
3202.193359, 16.176
3225.397949, 16.175
3248.770508, 16.170
3272.312500, 16.164
3296.024902, 16.154
3319.909180, 16.143
3343.966797, 16.129
3368.198486, 16.113
3392.605713, 16.095
3417.189941, 16.076
3441.952393, 16.054
3466.894287, 16.031
3492.016846, 16.006
3517.321289, 15.979
3542.809326, 15.951
3568.481934, 15.921
3594.340576, 15.889
3620.386719, 15.856
3646.621582, 15.820
3673.046387, 15.783
3699.662842, 15.743
3726.472168, 15.701
3753.475586, 15.657
3780.675049, 15.611
3808.071289, 15.562
3835.666016, 15.510
3863.460938, 15.455
3891.457275, 15.398
3919.656250, 15.337
3948.059814, 15.274
3976.668945, 15.207
4005.485596, 15.137
4034.510986, 15.064
4063.746582, 14.988
4093.194336, 14.909
4122.855469, 14.827
4152.730957, 14.743
4182.823730, 14.655
4213.133789, 14.565
4243.664062, 14.473
4274.415527, 14.379
4305.389648, 14.282
4336.588379, 14.185
4368.013184, 14.085
4399.665527, 13.985
4431.547363, 13.884
4463.660156, 13.782
4496.005371, 13.680
4528.585449, 13.578
4561.401367, 13.477
4594.455078, 13.376
4627.748535, 13.276
4661.283203, 13.178
4695.060547, 13.081
4729.083008, 12.986
4763.352051, 12.893
4797.869141, 12.803
4832.636719, 12.715
4867.655762, 12.630
4902.928711, 12.548
4938.457520, 12.470
4974.243652, 12.394
5010.289062, 12.321
5046.595703, 12.251
5083.165527, 12.184
5120.000000, 12.119
5157.101562, 12.057
5194.472168, 11.997
5232.113281, 11.938
5270.027344, 11.880
5308.216309, 11.823
5346.681641, 11.766
5385.426270, 11.709
5424.451172, 11.652
5463.758789, 11.593
5503.351562, 11.533
5543.230957, 11.471
5583.399414, 11.406
5623.859375, 11.339
5664.611816, 11.269
5705.660156, 11.195
5747.005859, 11.117
5788.650879, 11.034
5830.597656, 10.947
5872.848633, 10.855
5915.405762, 10.758
5958.271484, 10.655
6001.447266, 10.546
6044.936523, 10.431
6088.740234, 10.309
6132.861816, 10.181
6177.303223, 10.047
6222.066406, 9.906
6267.154297, 9.759
6312.568359, 9.606
6358.312012, 9.446
6404.386719, 9.281
6450.795898, 9.110
6497.541016, 8.935
6544.625000, 8.755
6592.049805, 8.571
6639.818359, 8.384
6687.933594, 8.195
6736.396973, 8.004
6785.211426, 7.813
6834.379883, 7.623
6883.904785, 7.434
6933.788574, 7.249
6984.033691, 7.069
7034.642578, 6.895
7085.618652, 6.730
7136.963867, 6.576
7188.681152, 6.434
7240.773438, 6.306
7293.243164, 6.194
7346.092773, 6.099
7399.325684, 6.023
7452.944336, 5.965
7506.951172, 5.926
7561.350098, 5.904
7616.142578, 5.899
7671.332031, 5.906
7726.921875, 5.923
7782.914551, 5.948
7839.312500, 5.975
7896.119629, 6.002
7953.337891, 6.023
8010.971191, 6.036
8069.021973, 6.037
8127.493164, 6.023
8186.388672, 5.990
8245.710938, 5.937
8305.461914, 5.861
8365.647461, 5.761
8426.267578, 5.636
8487.328125, 5.484
8548.831055, 5.306
8610.779297, 5.101
8673.176758, 4.871
8736.026367, 4.616
8799.331055, 4.338
8863.094727, 4.039
8927.320312, 3.723
8992.010742, 3.392
9057.170898, 3.053
9122.802734, 2.709
9188.910156, 2.369
9255.497070, 2.040
9322.566406, 1.730
9390.121094, 1.449
9458.166016, 1.205
9526.704102, 1.004
9595.738281, 0.851
9665.273438, 0.745
9735.311523, 0.685
9805.857422, 0.663
9876.915039, 0.672
9948.487305, 0.703
10020.578125, 0.747
10093.191406, 0.796
10166.331055, 0.844
10240.000000, 0.885
10314.203125, 0.916
10388.944336, 0.935
10464.226562, 0.941
10540.054688, 0.934
10616.432617, 0.917
10693.363281, 0.892
10770.852539, 0.863
10848.902344, 0.835
10927.517578, 0.814
11006.703125, 0.805
11086.461914, 0.812
11166.798828, 0.841
11247.718750, 0.895
11329.223633, 0.974
11411.320312, 1.078
11494.011719, 1.205
11577.301758, 1.349
11661.195312, 1.505
11745.697266, 1.669
11830.811523, 1.833
11916.542969, 1.992
12002.894531, 2.142
12089.873047, 2.279
12177.480469, 2.401
12265.723633, 2.504
12354.606445, 2.588
12444.132812, 2.654
12534.308594, 2.702
12625.136719, 2.733
12716.624023, 2.751
12808.773438, 2.758
12901.591797, 2.758
12995.082031, 2.754
13089.250000, 2.750
13184.099609, 2.749
13279.636719, 2.753
13375.867188, 2.763
13472.793945, 2.779
13570.422852, 2.800
13668.759766, 2.824
13767.809570, 2.847
13867.577148, 2.867
13968.067383, 2.880
14069.285156, 2.882
14171.237305, 2.871
14273.927734, 2.843
14377.362305, 2.798
14481.546875, 2.732
14586.486328, 2.647
14692.185547, 2.543
14798.651367, 2.420
14905.888672, 2.280
15013.902344, 2.125
15122.700195, 1.959
15232.285156, 1.783
15342.664062, 1.602
15453.843750, 1.419
15565.829102, 1.237
15678.625000, 1.059
15792.239258, 0.887
15906.675781, 0.723
16021.942383, 0.570
16138.043945, 0.426
16254.986328, 0.294
16372.777344, 0.173
16491.421875, 0.065
16610.923828, -0.030
16731.294922, -0.110
16852.535156, -0.174
16974.656250, -0.220
17097.662109, -0.247
17221.558594, -0.253
17346.353516, -0.238
17472.052734, -0.204
17598.662109, -0.153
17726.189453, -0.088
17854.640625, -0.014
17984.021484, 0.066
18114.341797, 0.147
18245.605469, 0.225
18377.820312, 0.298
18510.994141, 0.361
18645.132812, 0.415
18780.242188, 0.458
18916.332031, 0.490
19053.408203, 0.514
19191.476562, 0.529
19330.546875, 0.538
19470.623047, 0.543
19611.714844, 0.546
19753.830078, 0.546
19896.974609, 0.547
20041.156250, 0.547
