* DMS Fastgraph population variation export
* Rig: B&K 5128
* Dataset: ARI + AXD/SONICOM + SoundSphere2
* Measurement Type: blocked-ear-canal in-ear HRTF SOFA data
* Population Units: 749 listeners, one bilateral diffuse-field curve per listener
* Database Counts: ARI=263; AXD/SONICOM=408; SoundSphere2=78
* Weighting: equal listener weighting; all available directions and both receivers averaged per listener
* EQ Applied: No
* Channel Side: bilateral
* Export Type: Variation Band
* Export Date: 2026-07-29 14:48:15
* Compensated: Yes
* HRTF Files: 5128 canal approximation.txt; 5128 DF.txt
* Canal Correction: above 1 kHz, blocked-canal response + 5128 canal transfer function; below 1 kHz, smoothly transitioned to aligned 5128 DF line; 16-20 kHz high-frequency slope blended toward aligned 5128 DF
* Listener Normalization: 0 dB at 1 kHz before canal correction
* Variation Sweeps: 749 listener curves
* Smoothing: 1/48 octave
* Percentiles: p10/p25/median/p75/p90 across listeners
* Normalization: Fastgraph 1 kHz normalization above transition; DF line aligned to the 1 kHz median
* Points: log-spaced
*
* Low-Frequency Reference: 5128 DF.txt
* DF Transition: smooth log-frequency blend; original VAR at 1 kHz, single DF line at 500 Hz and below
* DF Alignment: DF curve offset to match the original population median at 1 kHz
* High-Frequency Treatment: smooth 16-17 kHz handoff, then 5128 DF slope through 20 kHz
* High-Frequency Alignment: DF curve aligned to the measured median at 16 kHz; 16 kHz percentile offsets held through 20 kHz
* Frequency(Hz)	P10(dB)	P25(dB)	Median(dB)	P75(dB)	P90(dB)
101.5355	-2.029535	-2.029535	-2.029535	-2.029535	-2.029535
102.1222	-2.028738	-2.028738	-2.028738	-2.028738	-2.028738
102.7122	-2.027329	-2.027329	-2.027329	-2.027329	-2.027329
103.3057	-2.026142	-2.026142	-2.026142	-2.026142	-2.026142
103.9026	-2.025137	-2.025137	-2.025137	-2.025137	-2.025137
104.5029	-2.023540	-2.023540	-2.023540	-2.023540	-2.023540
105.1067	-2.021945	-2.021945	-2.021945	-2.021945	-2.021945
105.7140	-2.020950	-2.020950	-2.020950	-2.020950	-2.020950
106.3248	-2.019754	-2.019754	-2.019754	-2.019754	-2.019754
106.9392	-2.018354	-2.018354	-2.018354	-2.018354	-2.018354
107.5570	-2.017556	-2.017556	-2.017556	-2.017556	-2.017556
108.1785	-2.015966	-2.015966	-2.015966	-2.015966	-2.015966
108.8035	-2.014961	-2.014961	-2.014961	-2.014961	-2.014961
109.4322	-2.013775	-2.013775	-2.013775	-2.013775	-2.013775
110.0645	-2.012365	-2.012365	-2.012365	-2.012365	-2.012365
110.7004	-2.011566	-2.011566	-2.011566	-2.011566	-2.011566
111.3400	-2.009987	-2.009987	-2.009987	-2.009987	-2.009987
111.9833	-2.008971	-2.008971	-2.008971	-2.008971	-2.008971
112.6304	-2.007796	-2.007796	-2.007796	-2.007796	-2.007796
113.2811	-2.006375	-2.006375	-2.006375	-2.006375	-2.006375
113.9357	-2.005576	-2.005576	-2.005576	-2.005576	-2.005576
114.5940	-2.004008	-2.004008	-2.004008	-2.004008	-2.004008
115.2561	-2.002981	-2.002981	-2.002981	-2.002981	-2.002981
115.9220	-2.001816	-2.001816	-2.001816	-2.001816	-2.001816
116.5918	-2.000220	-2.000220	-2.000220	-2.000220	-2.000220
117.2655	-1.998623	-1.998623	-1.998623	-1.998623	-1.998623
117.9430	-1.997790	-1.997790	-1.997790	-1.997790	-1.997790
118.6245	-1.996433	-1.996433	-1.996433	-1.996433	-1.996433
119.3099	-1.994837	-1.994837	-1.994837	-1.994837	-1.994837
119.9992	-1.993241	-1.993241	-1.993241	-1.993241	-1.993241
120.6926	-1.991644	-1.991644	-1.991644	-1.991644	-1.991644
121.3899	-1.990049	-1.990049	-1.990049	-1.990049	-1.990049
